role,seed,status,reasons,plan_lap_s,v_peak,thrust_peak,max_angle_deg,stretch,lap_stretched_s,min_gate_gap,n_frame_crossings,frame_margin_m
train,200435,reject,frame_crossing+arena+ref_contact,4.989,5.659,14.748,10.557,1.286,6.416,1.758,4.0,0.0
train,200436,pass,,4.155,4.948,14.72,9.02,1.124,4.673,1.766,0.0,0.043
train,200437,reject,frame_crossing+arena+ref_contact,4.618,5.565,14.727,9.012,1.265,5.842,1.795,2.0,0.0
train,200438,reject,frame_crossing+arena+ref_contact,4.507,5.522,14.68,9.608,1.255,5.656,1.198,2.0,0.0
train,200439,reject,arena+frame_margin,4.419,6.467,14.621,5.896,1.47,6.495,1.419,0.0,0.016
train,200440,reject,frame_crossing+arena+ref_contact,4.413,5.322,14.729,7.839,1.209,5.337,1.695,1.0,0.0
train,200441,reject,frame_crossing+arena+ref_contact,4.47,4.743,14.724,7.863,1.078,4.819,1.176,2.0,0.0
train,200442,reject,arena,5.036,6.439,14.634,6.879,1.463,7.369,1.348,0.0,0.036
train,200443,reject,frame_crossing+arena+ref_contact,4.118,5.132,14.673,7.335,1.166,4.802,1.571,1.0,0.0
train,200444,reject,frame_crossing+arena+ref_contact,4.24,5.321,14.72,7.471,1.209,5.128,1.263,1.0,0.0
train,200445,reject,frame_crossing+arena+ref_contact,4.766,5.796,14.778,8.6,1.317,6.278,1.631,3.0,0.0
train,200446,reject,frame_crossing+arena+ref_contact,4.796,6.471,14.577,7.127,1.471,7.053,1.148,2.0,0.0
train,200447,reject,frame_crossing+arena+ref_contact,3.914,5.161,14.683,8.446,1.173,4.592,1.053,1.0,0.0
train,200448,reject,frame_crossing+arena+ref_contact,4.716,6.386,14.654,9.631,1.451,6.845,1.362,3.0,0.0
train,200449,reject,frame_crossing+ref_contact,4.548,5.78,14.761,9.425,1.314,5.975,1.626,2.0,0.0
train,200450,reject,frame_crossing+arena+ref_contact,4.532,3.592,14.522,7.991,1.0,4.532,1.026,1.0,0.0
train,200451,reject,arena+frame_margin,4.769,5.439,14.707,8.356,1.236,5.896,1.271,0.0,0.028
train,200452,reject,frame_crossing+ref_contact,4.891,5.621,14.598,7.173,1.278,6.249,1.569,1.0,0.0
