role,seed,status,reasons,plan_lap_s,v_peak,thrust_peak,max_angle_deg,stretch,lap_stretched_s,min_gate_gap,n_frame_crossings,frame_margin_m
study,1157,reject,frame_crossing+arena+ref_contact,4.485,5.676,14.44,6.651,1.29,5.786,1.058,2.0,0.0
study,1158,reject,frame_crossing+arena+ref_contact,4.414,6.179,14.709,6.973,1.404,6.2,1.327,2.0,0.0
study,1159,reject,frame_crossing+arena+ref_contact,4.689,6.238,14.611,7.101,1.418,6.649,1.176,1.0,0.0
study,1160,reject,frame_crossing+arena+ref_contact,4.011,4.91,14.667,7.794,1.116,4.476,1.181,2.0,0.0
study,1161,reject,arena+ref_contact,4.68,5.235,14.719,9.253,1.19,5.567,1.311,0.0,0.0
study,1162,reject,arena,3.846,4.443,14.599,6.389,1.01,3.883,1.383,0.0,0.05
study,1163,reject,frame_crossing+arena+ref_contact,4.597,4.675,14.735,8.689,1.063,4.885,1.133,2.0,0.0
study,1164,reject,frame_crossing+arena+ref_contact,5.065,4.307,14.579,7.335,1.0,5.065,1.694,2.0,0.0
study,1165,reject,arena,3.872,4.262,14.65,7.445,1.0,3.872,1.058,0.0,0.038
study,1166,reject,frame_crossing+arena+ref_contact,5.195,6.469,14.659,6.958,1.47,7.639,2.155,2.0,0.0
study,1167,reject,arena,3.931,4.993,14.715,7.2,1.135,4.461,1.339,0.0,0.045
study,1168,reject,arena,3.969,4.854,14.655,9.634,1.103,4.378,1.219,0.0,0.037
study,1169,reject,frame_crossing+frame_margin,3.83,5.744,14.674,7.556,1.306,5.0,1.384,1.0,0.027
study,1170,reject,frame_crossing+ref_contact,4.309,3.655,14.724,6.754,1.0,4.309,1.026,2.0,0.0
study,1171,reject,frame_crossing+arena+ref_contact,4.987,5.736,14.713,6.984,1.304,6.501,1.063,1.0,0.0
study,1172,reject,frame_crossing+arena+ref_contact,5.021,6.139,14.696,7.551,1.395,7.005,2.894,2.0,0.0
study,1173,reject,frame_crossing+arena+ref_contact,5.022,5.559,14.511,7.396,1.264,6.346,1.547,5.0,0.0
study,1174,reject,frame_crossing+arena+frame_margin,4.413,6.192,14.723,6.858,1.407,6.21,1.564,1.0,0.018
study,1175,reject,frame_crossing+arena,4.349,6.084,14.59,5.904,1.383,6.013,2.179,1.0,0.032
study,1176,reject,frame_crossing+arena+ref_contact,5.034,5.972,14.641,6.877,1.357,6.833,1.198,2.0,0.0
study,1177,reject,frame_crossing+arena+ref_contact,4.793,5.326,14.676,8.448,1.21,5.802,1.063,3.0,0.0
study,1178,reject,frame_crossing+arena+ref_contact,4.253,4.878,14.676,9.189,1.109,4.716,1.858,2.0,0.0
study,1179,reject,arena,4.606,5.099,14.699,8.811,1.159,5.338,2.027,0.0,0.036
study,1180,reject,frame_crossing+arena+ref_contact,4.807,3.547,14.57,4.809,1.0,4.807,1.176,1.0,0.0
study,1181,reject,frame_crossing+ref_contact,4.089,4.768,14.675,8.464,1.084,4.431,1.335,1.0,0.0
study,1182,reject,arena+frame_margin,4.388,5.622,14.605,6.79,1.278,5.606,1.228,0.0,0.016
study,1183,reject,frame_crossing+arena+ref_contact,4.888,5.571,14.726,11.006,1.266,6.189,1.862,2.0,0.0
study,1184,reject,frame_crossing+arena+ref_contact,4.672,5.258,14.722,6.823,1.195,5.583,1.053,1.0,0.0
study,1185,reject,frame_crossing+arena+ref_contact,4.488,5.419,14.654,8.072,1.232,5.527,1.109,3.0,0.0
study,1186,reject,frame_crossing+arena+ref_contact,4.627,5.041,14.725,6.694,1.146,5.301,1.245,1.0,0.0
study,1187,reject,frame_crossing+arena+ref_contact,5.304,5.078,14.712,10.38,1.154,6.122,1.362,1.0,0.0
study,1188,reject,frame_crossing+arena+ref_contact,5.032,5.551,14.67,9.743,1.262,6.348,2.259,4.0,0.0
study,1189,reject,frame_crossing+arena+ref_contact,4.763,5.318,14.693,8.543,1.209,5.756,1.69,1.0,0.0
study,1190,reject,frame_crossing+arena+ref_contact,4.941,5.772,14.64,7.822,1.312,6.482,1.936,2.0,0.0
study,1191,reject,arena,3.781,4.882,14.584,6.238,1.109,4.195,1.862,0.0,0.038
study,1192,reject,frame_crossing+arena+ref_contact,4.688,5.51,14.733,10.295,1.252,5.871,1.543,2.0,0.0
study,1193,reject,frame_crossing+arena+ref_contact,4.651,4.935,14.74,9.008,1.122,5.217,1.245,2.0,0.0
